ID,X,Y,W,X,Y,Z
0,-0.00589091,0.171862,0,0,-0.105596,0.994409
1,0.247251,-0.312206,0,0,-0.0662377,0.997804
2,0.169459,-0.002996,0,0,-0.0179235,0.999839
